Duo (Pas de deux),655,28.08,1,0
Claire of the Moon,733,20.52,1,1
Men of War,744,25.71,1,0
Spies Like Us,695,21.36,1,1
PAY 2 PLAY,736,27.57,1,1
Paralyzing Fear,683,25.76,1,0
The Last of the Finest,613,20.21,1,0
Next Three Days,706,28.55,1,0
White Sheik,703,25.39,1,0
Kingdom,644,12.12,1,2
Together Again,659,21.71,1,0
Elysium,654,9.07,1,2
Americano,628,32.42,1,1
Tartuffe,734,19.57,1,1
Triad Election,632,16.45,1,1
Headache Spasms,815,133.45,3,0
OXYGEN,838,83.9,3,0
Rodan and Fields,828,139.24,3,1
Cetirizine Hydro,830,62.64,3,1
Loris Povidone,837,15.39,3,0
Triaminic,779,76.41,3,1
Fluoxetine Hydro,795,73.13,3,0
Ruby-Cell,765,73.39,3,1
Fenofibrate,839,78.48,3,1
Privet,842,52.79,3,0
Wal-Zyr,834,122.23,3,2
Ibuprofen,766,75.73,3,2
Valsartan,819,106.94,3,2
Old Spice,824,112.42,3,1
Triamterene,833,114.74,3,0
ZONISAMIDE,781,38.99,3,2
Headache - Migraine,810,57.5,3,2
Kidkare,803,35.62,3,2
Levetiracetam,783,139.92,3,1
Pollens,807,81.7,3,1
DR DENTAL CARE,786,56.29,3,2
Metronidazole,834,102.77,3,1
Up and up miconazole 7,777,110.24,3,2
Ziprasidone,798,95.45,3,2
BENZTROPINE,816,92.21,3,0
Metaxalone,810,19.56,3,1
Hydroxyzine,800,112.5,3,0
GOODSENSE,758,41.47,3,0
Oxymorphone,830,141.28,3,2
Handwash,842,21.73,3,2
HA,803,85.93,3,0
Fexofenadine,778,45.36,3,2
Potassium,830,9.07,3,2
Acetaminophen,810,20.08,3,2
Candida I,823,112.85,3,0
Norinyl,791,91.42,3,2
Food Additives,787,42.09,3,2
Ampicillin,838,78.94,3,1
Carimune,771,146.73,3,1
MEDICAL AIR,832,59.37,3,2
Sodium,832,143.14,3,1
FANAPT,814,35.31,3,2
Benztropine,831,106.83,3,1
Morphine Sulfate,751,124.14,3,0
Triamterene,807,97.1,3,0
Rx pain relief,752,65.17,3,0
Ciprofloxacin,806,132.14,3,2
Phentermin,831,69.36,3,1
Lidocaine,801,69.53,3,0
Mary Kay Tinted,830,60.84,3,0
Divalproex,806,142.22,3,2
Members Allergy,768,53.16,3,2
METOCLOPRAMIDE,812,71.33,3,2
Hydrochloride,844,26.79,3,1
Quetiapine,782,117.14,3,1
PROPRANOLOL,759,134.78,3,2
Balsalazide Disodium,815,84.61,3,0
Reboost,761,122.2,3,2
Penicillin V,753,53.82,3,0
Topical,757,120.92,3,2
Glycopyrrolate,752,63.75,3,0
Carvedilol,783,74.69,3,1
Enalapril,836,37.77,3,0
Crestor,845,116.53,3,2
Mirapex,775,90.7,3,0
Chinese Elm,817,90.18,3,0
Joint Complex,812,143.24,3,1
Amlodipine,848,115.11,3,0
Simvastatin,836,139.55,3,1
Methylprednisolone,812,9.03,3,0
Diazepam,788,9.42,3,2
Stanback,829,69.76,3,1
Cranberry,769,45.3,3,2
Dinner Jacket,805,87.56,4,0
Mandarin Shirts,801,127.8,4,1
Cheerleader Outfit,786,117.38,4,2
Nightgown,813,60.34,4,0
Hoody,811,155.28,4,2
Football Jersey,810,132.41,4,1
Bikini,757,42.69,4,2
Business Suit,770,156.17,4,1
Wet Suit,774,70.62,4,2
Pointe,817,69.37,4,1
Slippers,798,38.5,4,2
Shtreimel,776,30.62,4,0
Hawaiian Shirt,774,158.92,4,2
Hazmat Suit,758,153.38,4,1
Palazzo Pants,807,78.38,4,0
Poncho,800,74.56,4,2
Hanbok,779,63.93,4,2
Letter Jacket,787,70.95,4,0
Bermuda Shorts,761,63.56,4,0
Top,783,43.85,4,2
Robe,809,69.85,4,0
Flannel Shirt,794,159.43,4,1
Poncho,759,155.6,4,0
Yoga Pants,788,162.27,4,2
Baseball Jersey,816,140.34,4,1
Referee Uniform,819,113.39,4,1
Leather Jacket,752,179.04,4,2
Belt,787,36.0,4,1
Suit,812,130.34,4,2
Dress,782,119.88,4,0
Amazon Thermostat,884,264.36,0,1
Air Fryer Toaster Oven,825,248.85,0,0
IRobot Roomba i7,940,403.73,0,0
Traeger Grills,893,418.39,0,1
Atomi Coffee Maker,880,142.12,0,1
Garmin Instinct Solar,892,92.83,0,0
Fellow Stagg Kettle,853,295.21,0,0
Samsung Galaxy SmartTag,879,113.33,0,2
Ember Temperature Control,995,139.04,0,0
Tovala Smart Oven,874,273.99,0,0
